[14:58:20] [WARN ] Failed to parse recipe 'minecraft:composter[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:composter[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:diamond_pickaxe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:diamond_pickaxe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:suspicious_stew[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:suspicious_stew[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:wooden_pickaxe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:wooden_pickaxe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:golden_axe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:golden_axe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:barrel[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:barrel[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:iron_boots[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:iron_boots[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:golden_chestplate[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:golden_chestplate[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:painting[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:painting[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:bricks[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:bricks[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:diamond_hoe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:diamond_hoe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:leather_chestplate[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:leather_chestplate[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:leather_leggings[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:leather_leggings[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:bowl[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:bowl[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:iron_helmet[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:iron_helmet[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:golden_helmet[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:golden_helmet[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:netherite_pickaxe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:netherite_pickaxe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:wooden_sword[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:wooden_sword[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:bucket[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:bucket[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:rabbit_stew_from_brown_mushroom[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:rabbit_stew_from_brown_mushroom[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:flint_and_steel[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:flint_and_steel[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:golden_sword[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:golden_sword[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
